Date Time,Nominal Total,Risk Capital,Leverage
5/15/2019 5:00:00 PM,2709720,456494.040000001,5.93593730161295
5/15/2019 6:30:00 PM,2708550,456494.040000001,5.93337428896113
5/15/2019 7:00:00 PM,2708100,456494.040000001,5.93238851486428
5/15/2019 7:30:00 PM,2707020,456494.040000001,5.93002265703183
5/15/2019 8:00:00 PM,2706480,456494.040000001,5.92883972811561
5/15/2019 8:30:00 PM,2704410,456494.040000001,5.92430516727008
5/15/2019 9:00:00 PM,2702790,456494.040000001,5.92075638052141
5/16/2019 5:30:00 AM,2707560,450721.800000001,6.00716450812895
5/16/2019 6:00:00 AM,2712330,450721.800000001,6.01774753295712
5/16/2019 6:30:00 AM,2721330,450721.800000001,6.03771550433104
5/16/2019 7:00:00 AM,2719350,450721.800000001,6.03332255062878
5/16/2019 7:30:00 AM,2720790,450721.800000001,6.03651742604861
5/16/2019 8:00:00 AM,2718000,450721.800000001,6.03032735492269
5/16/2019 8:30:00 AM,2712960,450721.800000001,6.0191452909533
5/16/2019 9:00:00 AM,2711970,450721.800000001,6.01694881410217
5/16/2019 10:00:00 AM,2728620,447379.560000001,6.09911637447181
5/16/2019 10:30:00 AM,2739420,447379.560000001,6.12325694987047
5/16/2019 11:00:00 AM,2744010,447379.560000001,6.1335166944149
5/16/2019 11:30:00 AM,2742120,447379.560000001,6.12929209372014
5/16/2019 12:00:00 PM,2747520,447379.560000001,6.14136238141947
5/16/2019 12:30:00 PM,2746440,447379.560000001,6.1389483238796
5/16/2019 1:00:00 PM,2742120,447379.560000001,6.12929209372014
5/16/2019 1:30:00 PM,2741400,447379.560000001,6.12768272202689
5/28/2019 1:00:00 AM,2644020,458167.320000001,5.7708611779644
5/28/2019 1:30:00 AM,2646540,458167.320000001,5.77636135200563
5/28/2019 2:00:00 AM,2645640,458167.320000001,5.77439700413376
6/4/2019 2:00:00 PM,1717200,454375.080000001,3.77925655605936
6/4/2019 2:30:00 PM,1715280,454375.080000001,3.77503097220912
6/4/2019 3:00:00 PM,1713540,454375.080000001,3.77120153684484
6/4/2019 3:30:00 PM,1716900,454375.080000001,3.77859630858276
6/4/2019 4:00:00 PM,1864590,454375.080000001,4.10363614131302
6/4/2019 4:30:00 PM,1867190,454375.080000001,4.10935828611022
6/4/2019 5:00:00 PM,1868425,454375.080000001,4.11207630488889
6/4/2019 6:30:00 PM,1874470,454375.080000001,4.12538029154239
6/4/2019 7:00:00 PM,1870635,454375.080000001,4.11694012796652
6/4/2019 7:30:00 PM,1870700,454375.080000001,4.11708318158645
6/4/2019 8:00:00 PM,1873235,454375.080000001,4.12266227276372
6/4/2019 8:30:00 PM,1872715,454375.080000001,4.12151784380428
6/4/2019 9:00:00 PM,1873690,454375.080000001,4.12366364810323
